order_status,MAX_FREIGHT,MAX_PRICE,MAX_PAYMENT,MIN_FREIGHT,MIN_PRICE,MIN_PAYMENT,MEDIAN_PRICE,MEDIAN_FREIGHT,MEDIAN_PAYMENT,AVG_FREIGHT,AVG_PRICE,AVG_PAYMENT,ORDER_PURCHASE_YEAR,ORDER_PURCHASE_MONTH,ORDER_PURCHASE_DAY,ORDER_PURCHASE_WEEKDAY,ORDER_PURCHASE_HOUR
shipped,944.00,8999.00,1420.00,944.00,8999.00,1420.00,8999.000000,944.000000,1420.000000,944.000000,8999.000000,1420.000000,2017,1,13,Friday,20
delivered,2075.00,4000.00,9362.00,2075.00,4000.00,9362.00,4000.000000,2075.000000,9362.000000,2075.000000,4000.000000,9362.000000,2017,1,14,Saturday,14
delivered,1510.00,4990.00,28008.00,739.00,2790.00,5014.00,3890.000000,1124.500000,16511.000000,1009.000000,3593.000000,17317.330000,2017,1,14,Saturday,15
delivered,6510.00,22990.00,25319.00,6510.00,22990.00,25319.00,22990.000000,6510.000000,25319.000000,6510.000000,22990.000000,25319.000000,2017,1,14,Saturday,22
delivered,1424.00,7000.00,9982.00,1424.00,7000.00,9982.00,7000.000000,1424.000000,9982.000000,1424.000000,7000.000000,9982.000000,2017,1,15,Sunday,0
delivered,1857.00,9920.00,19302.00,1679.00,1700.00,4600.00,5810.000000,1768.000000,11951.000000,1768.000000,5810.000000,11951.000000,2017,1,15,Sunday,12
delivered,134.00,3999.00,9865.00,134.00,3999.00,9865.00,3999.000000,134.000000,9865.000000,134.000000,3999.000000,9865.000000,2017,1,16,Monday,18
delivered,1279.00,1790.00,6922.00,1279.00,1790.00,6922.00,1790.000000,1279.000000,6922.000000,1279.000000,1790.000000,6922.000000,2017,1,16,Monday,22
delivered,1254.00,14990.00,18775.00,1254.00,14990.00,18775.00,14990.000000,1254.000000,18775.000000,1254.000000,14990.000000,18775.000000,2017,1,17,Tuesday,0
delivered,1934.00,73890.00,16342.00,1387.00,4199.00,7303.00,39044.500000,1660.500000,11822.500000,1660.500000,39044.500000,11822.500000,2017,1,17,Tuesday,15
delivered,4572.00,17999.00,14264.00,1185.00,3790.00,5831.00,10894.500000,2878.500000,10047.500000,2700.250000,9246.750000,8582.250000,2017,1,17,Tuesday,16
delivered,1959.00,5699.00,15371.00,1641.00,3200.00,7598.00,4449.500000,1800.000000,11484.500000,1800.000000,4449.500000,11484.500000,2017,1,17,Tuesday,20
delivered,2481.00,32500.00,3862.00,2151.00,20500.00,3213.00,26500.000000,2316.000000,3537.500000,2316.000000,26500.000000,3537.500000,2017,1,17,Tuesday,23
delivered,3208.00,14990.00,85865.00,1556.00,1299.00,2738.00,8144.500000,2382.000000,44301.500000,2156.670000,7763.000000,34918.670000,2017,1,18,Wednseday,14
delivered,1579.00,4689.00,30940.00,1579.00,4689.00,30940.00,4689.000000,1579.000000,30940.000000,1579.000000,4689.000000,30940.000000,2017,1,18,Wednseday,21
delivered,2624.00,13700.00,46619.00,2206.00,3490.00,16753.00,8595.000000,2415.000000,31686.000000,2415.000000,8595.000000,31686.000000,2017,1,19,Thursday,11
delivered,3415.00,4990.00,13494.00,778.00,4761.00,8461.00,4875.500000,2096.500000,10977.500000,2096.500000,4875.500000,10977.500000,2017,1,19,Thursday,12
delivered,1510.00,14990.00,11934.00,1439.00,2400.00,5022.00,8695.000000,1474.500000,8478.000000,1474.500000,8695.000000,8478.000000,2017,1,19,Thursday,16
delivered,1410.00,8499.00,10826.00,941.00,2149.00,6605.00,5324.000000,1175.500000,8715.500000,1175.500000,5324.000000,8715.500000,2017,1,19,Thursday,19
delivered,1611.00,3840.00,19424.00,1611.00,3840.00,19424.00,3840.000000,1611.000000,19424.000000,1611.000000,3840.000000,19424.000000,2017,1,19,Thursday,23
delivered,2608.00,14999.00,4811.00,1632.00,1590.00,2919.00,8294.500000,2120.000000,3865.000000,2120.000000,8294.500000,3865.000000,2017,1,20,Friday,10
delivered,5339.00,20000.00,19854.00,873.00,8090.00,5500.00,14045.000000,3106.000000,12677.000000,2237.000000,14411.000000,10343.000000,2017,1,20,Friday,14
delivered,3082.00,13990.00,10485.00,1613.00,7100.00,468.00,10545.000000,2347.500000,5476.500000,2347.500000,10545.000000,5476.500000,2017,1,20,Friday,17
delivered,3792.00,8900.00,9281.00,3792.00,8900.00,9281.00,8900.000000,3792.000000,9281.000000,3792.000000,8900.000000,9281.000000,2017,1,20,Friday,21
delivered,1834.00,3490.00,12219.00,1834.00,3490.00,12219.00,3490.000000,1834.000000,12219.000000,1834.000000,3490.000000,12219.000000,2017,1,21,Saturday,8
shipped,1173.00,7200.00,2029.00,1173.00,7200.00,2029.00,7200.000000,1173.000000,2029.000000,1173.000000,7200.000000,2029.000000,2017,1,21,Saturday,11
delivered,1185.00,5430.00,13438.00,764.00,4299.00,3648.00,4864.500000,974.500000,8543.000000,974.500000,4864.500000,8543.000000,2017,1,16,Monday,19
delivered,1664.00,6399.00,17204.00,1269.00,4500.00,3518.00,5449.500000,1466.500000,10361.000000,1466.500000,5449.500000,10361.000000,2017,1,16,Monday,23
delivered,2146.00,14500.00,12323.00,771.00,890.00,8602.00,7695.000000,1458.500000,10462.500000,1458.500000,7695.000000,10462.500000,2017,1,17,Tuesday,9
delivered,1895.00,15350.00,19256.00,1665.00,5780.00,17377.00,10565.000000,1780.000000,18316.500000,1780.000000,10565.000000,18316.500000,2017,1,17,Tuesday,12
delivered,2226.00,4690.00,911.00,2226.00,4690.00,911.00,4690.000000,2226.000000,911.000000,2226.000000,4690.000000,911.000000,2017,1,17,Tuesday,13
delivered,1862.00,29990.00,18361.00,882.00,2490.00,4586.00,16240.000000,1372.000000,11473.500000,1450.800000,13065.800000,12781.000000,2017,1,17,Tuesday,14
delivered,1797.00,14800.00,10589.00,1322.00,3999.00,3745.00,9399.500000,1559.500000,7167.000000,1567.750000,8941.000000,7555.500000,2017,1,17,Tuesday,18
delivered,5018.00,33099.00,14049.00,5018.00,33099.00,14049.00,33099.000000,5018.000000,14049.000000,5018.000000,33099.000000,14049.000000,2017,1,17,Tuesday,21
delivered,1922.00,4400.00,15545.00,1922.00,4400.00,15545.00,4400.000000,1922.000000,15545.000000,1922.000000,4400.000000,15545.000000,2017,1,18,Wednseday,0
delivered,3857.00,279965.00,6820.00,1833.00,6490.00,3801.00,143227.500000,2845.000000,5310.500000,2732.670000,122118.330000,5687.670000,2017,1,18,Wednseday,10
delivered,1987.00,5490.00,4514.00,1987.00,5490.00,4514.00,5490.000000,1987.000000,4514.000000,1987.000000,5490.000000,4514.000000,2017,1,18,Wednseday,11
delivered,3946.00,17000.00,7134.00,1646.00,9999.00,4806.00,13499.500000,2796.000000,5970.000000,2796.000000,13499.500000,5970.000000,2017,1,18,Wednseday,12
delivered,787.00,5999.00,12694.00,787.00,5999.00,12694.00,5999.000000,787.000000,12694.000000,787.000000,5999.000000,12694.000000,2017,1,18,Wednseday,15
delivered,5592.00,309990.00,19750.00,1410.00,3190.00,10566.00,156590.000000,3501.000000,15158.000000,3501.000000,156590.000000,15158.000000,2017,1,18,Wednseday,16
delivered,1833.00,15490.00,14254.00,1833.00,15490.00,14254.00,15490.000000,1833.000000,14254.000000,1833.000000,15490.000000,14254.000000,2017,1,18,Wednseday,19
delivered,5062.00,89900.00,28420.00,1510.00,3162.00,3399.00,46531.000000,3286.000000,15909.500000,2913.330000,36687.330000,13518.330000,2017,1,18,Wednseday,22
delivered,941.00,8499.00,3351.00,941.00,8499.00,3351.00,8499.000000,941.000000,3351.000000,941.000000,8499.000000,3351.000000,2017,1,19,Thursday,8
delivered,5635.00,1900.00,41372.00,5635.00,1900.00,41372.00,1900.000000,5635.000000,41372.000000,5635.000000,1900.000000,41372.000000,2017,1,19,Thursday,9
delivered,927.00,10500.00,37322.00,829.00,1499.00,27388.00,5999.500000,878.000000,32355.000000,878.000000,5999.500000,32355.000000,2017,1,19,Thursday,10
delivered,1410.00,4900.00,9075.00,1185.00,1399.00,8225.00,3149.500000,1297.500000,8650.000000,1297.500000,3149.500000,8650.000000,2017,1,19,Thursday,13
delivered,1810.00,17990.00,76078.00,1559.00,4990.00,5686.00,11490.000000,1684.500000,40882.000000,1709.670000,11656.670000,32013.330000,2017,1,19,Thursday,14
delivered,1622.00,21000.00,196314.00,1622.00,21000.00,196314.00,21000.000000,1622.000000,196314.000000,1622.000000,21000.000000,196314.000000,2017,1,19,Thursday,17
delivered,2504.00,11699.00,24047.00,2081.00,10397.00,2754.00,11048.000000,2292.500000,13400.500000,2292.500000,11048.000000,13400.500000,2017,1,19,Thursday,20
delivered,2240.00,9900.00,11930.00,2240.00,9900.00,11930.00,9900.000000,2240.000000,11930.000000,2240.000000,9900.000000,11930.000000,2017,1,20,Friday,1
delivered,1607.00,16997.00,10000.00,1607.00,16997.00,10000.00,16997.000000,1607.000000,10000.000000,1607.000000,16997.000000,10000.000000,2017,1,20,Friday,3
delivered,1986.00,19000.00,107110.00,1709.00,13600.00,14718.00,16300.000000,1847.500000,60914.000000,1847.500000,16300.000000,60914.000000,2017,1,20,Friday,11
delivered,1794.00,9900.00,9772.00,1794.00,9900.00,9772.00,9900.000000,1794.000000,9772.000000,1794.000000,9900.000000,9772.000000,2017,1,20,Friday,12
delivered,1591.00,6690.00,20842.00,1591.00,6690.00,20842.00,6690.000000,1591.000000,20842.000000,1591.000000,6690.000000,20842.000000,2017,1,20,Friday,15
delivered,2563.00,2500.00,21011.00,2563.00,2500.00,21011.00,2500.000000,2563.000000,21011.000000,2563.000000,2500.000000,21011.000000,2017,1,21,Saturday,6
delivered,2113.00,30900.00,22219.00,2113.00,30900.00,22219.00,30900.000000,2113.000000,22219.000000,2113.000000,30900.000000,22219.000000,2017,1,21,Saturday,9
delivered,1381.00,9881.00,61501.00,1381.00,9881.00,61501.00,9881.000000,1381.000000,61501.000000,1381.000000,9881.000000,61501.000000,2017,1,21,Saturday,16
shipped,199.00,2600.00,7499.00,199.00,2600.00,7499.00,2600.000000,199.000000,7499.000000,199.000000,2600.000000,7499.000000,2017,1,21,Saturday,20
delivered,1510.00,3999.00,5753.00,1510.00,3999.00,5753.00,3999.000000,1510.000000,5753.000000,1510.000000,3999.000000,5753.000000,2017,1,22,Sunday,10
delivered,3704.00,2615.00,11931.00,1279.00,1390.00,6513.00,2002.500000,2491.500000,9222.000000,2491.500000,2002.500000,9222.000000,2017,1,22,Sunday,11
delivered,2150.00,5999.00,10594.00,1510.00,4290.00,5509.00,5144.500000,1830.000000,8051.500000,1830.000000,5144.500000,8051.500000,2017,1,22,Sunday,14
delivered,3796.00,5800.00,2618.00,3796.00,5800.00,2618.00,5800.000000,3796.000000,2618.000000,3796.000000,5800.000000,2618.000000,2017,1,22,Sunday,15
delivered,1284.00,12700.00,13213.00,1209.00,2499.00,7608.00,7599.500000,1246.500000,10410.500000,1246.500000,7599.500000,10410.500000,2017,1,22,Sunday,18
unavailable,4530.00,12000.00,7676.00,4530.00,12000.00,7676.00,12000.000000,4530.000000,7676.000000,4530.000000,12000.000000,7676.000000,2017,1,22,Sunday,20
delivered,2007.00,13500.00,17135.00,1504.00,1899.00,3384.00,7699.500000,1755.500000,10259.500000,1644.250000,8474.500000,11110.750000,2017,1,22,Sunday,21
delivered,6269.00,29990.00,85395.00,778.00,2399.00,7757.00,16194.500000,3523.500000,46576.000000,2171.290000,10382.570000,26735.000000,2017,1,5,Thursday,14
delivered,1466.00,12999.00,7757.00,1466.00,12999.00,7757.00,12999.000000,1466.000000,7757.000000,1466.000000,12999.000000,7757.000000,2017,1,5,Thursday,16
delivered,1760.00,4990.00,5169.00,1760.00,4990.00,5169.00,4990.000000,1760.000000,5169.000000,1760.000000,4990.000000,5169.000000,2017,1,7,Saturday,17
delivered,2098.00,11999.00,5950.00,1249.00,6990.00,2759.00,9494.500000,1673.500000,4354.500000,1673.500000,9494.500000,4354.500000,2017,1,8,Sunday,9
delivered,1510.00,1480.00,226728.00,1510.00,1480.00,226728.00,1480.000000,1510.000000,226728.000000,1510.000000,1480.000000,226728.000000,2017,1,10,Tuesday,13
